Image,Machine,Reported Max,Extracted Max,Max Diff,Max Acc %,Reported Final,Extracted Final,Final Diff,Final Acc %
S__78209088,P大海物語5 MTE2,"3,340","3,120",-220,93.4%,"3,125","2,802",-323,89.7%
S__78209128,P大海物語5 MTE2,"11,430","11,171",-259,97.7%,"6,771","6,563",-208,96.9%
S__78209130,P大海物語5 MTE2,"9,060","8,872",-188,97.9%,"-5,997","-6,323",-326,94.6%
S__78209132,P大海物語5 MTE2,"36,350","30,000","-6,350",82.5%,"28,935","28,713",-222,99.2%
S__78209136,P大海物語5 MTE2,"3,620","3,722",+102,97.2%,"-10,925","-11,032",-107,99.0%
S__78209138,P大海物語5 MTE2,"20,340","20,236",-104,99.5%,"19,669","19,479",-190,99.0%
S__78209156,P大海物語5 MTE2,"24,560","24,389",-171,99.3%,"22,900","22,690",-210,99.1%
S__78209158,e Re：ゼロから始める異世,"3,540","3,361",-179,94.9%,"-19,100","-19,608",-508,97.3%
S__78209160,e Re：ゼロから始める異世,"7,080","7,137",+57,99.2%,"3,010","2,581",-429,85.7%
S__78209162,e Re：ゼロから始める異世,"12,700","12,702",+2,100.0%,"1,700","1,290",-410,75.9%
S__78209164,e Re：ゼロから始める異世,"21,020","21,290",+270,98.7%,"15,450","15,363",-87,99.4%
S__78209166,P大海物語5 MTE2,"1,360","1,573",+213,84.4%,"-7,813","-7,390",+423,94.6%
S__78209168,e Re：ゼロから始める異世,"5,700","5,685",-15,99.7%,"-24,750","-24,578",+172,99.3%
S__78209170,e Re：ゼロから始める異世,390,605,+215,44.9%,195,"-1,016","-1,211",-521.1%
S__78209174,e Re：ゼロから始める異世,"18,860","19,035",+175,99.1%,"8,000","7,782",-218,97.3%
